CameraMaker,CameraModel,SensorWidth(mm),SensorHeight(mm),SensorWidth(pixels),SensorHeight(pixels)
Panasonic,Lumix DMC-FX5,5.75,4.32,2306,1734
Panasonic,Lumix DMC-FX50,5.75,4.32,3072,2310
Panasonic,Lumix DMC-FX500,6.08,4.56,3665,2756
Panasonic,Lumix DMC-FX55,5.75,4.32,3282,2468
Panasonic,Lumix DMC-FX550,6.08,4.56,4011,3016
Panasonic,Lumix DMC-FX580,6.08,4.56,4011,3016
Panasonic,Lumix DMC-FX60,6.08,4.56,4011,3016
Panasonic,Lumix DMC-FX65,6.08,4.56,4011,3016
Panasonic,Lumix DMC-FX66,6.08,4.56,4330,3256
Panasonic,Lumix DMC-FX68,6.08,4.56,4330,3256
Panasonic,Lumix DMC-FX7,5.75,4.32,2552,1919
Panasonic,Lumix DMC-FX70,6.08,4.56,4330,3256
Panasonic,Lumix DMC-FX700,6.08,4.56,4330,3256
Panasonic,Lumix DMC-FX75,6.08,4.56,4330,3256
Panasonic,Lumix DMC-FX77,6.08,4.56,4011,3016
Panasonic,Lumix DMC-FX78,6.08,4.56,4011,3016
Panasonic,Lumix DMC-FX8,5.75,4.32,2579,1939
Panasonic,Lumix DMC-FX80,6.08,4.56,4011,3016
Panasonic,Lumix DMC-FX9,5.75,4.32,2825,2124
Panasonic,Lumix DMC-FX90,6.08,4.56,4011,3016
Panasonic,Lumix DMC-FZ1,4.5,3.37,1637,1222
Panasonic,Lumix DMC-FZ10,5.75,4.32,2306,1734
Panasonic,Lumix DMC-FZ100,6.08,4.56,4330,3256
Panasonic,Lumix DMC-FZ1000,13.2,8.8,5492,3661
Panasonic,Lumix DMC-FZ15,5.75,4.32,2391,1798
Panasonic,Lumix DMC-FZ150,6.08,4.56,4011,3016
Panasonic,Lumix DMC-FZ18,5.75,4.32,3262,2453
Panasonic,Lumix DMC-FZ2,4.5,3.37,1637,1222
Panasonic,Lumix DMC-FZ20,5.75,4.32,2579,1939
Panasonic,Lumix DMC-FZ200,6.16,4.62,4011,3016
Panasonic,Lumix DMC-FZ28,6.08,4.56,3665,2756
Panasonic,Lumix DMC-FZ3,4.5,3.37,2005,1496
Panasonic,Lumix DMC-FZ30,7.11,5.33,3262,2453
Panasonic,Lumix DMC-FZ35,6.08,4.56,4011,3016
Panasonic,Lumix DMC-FZ38,6.08,4.56,4011,3016
Panasonic,Lumix DMC-FZ4,5.75,4.32,2306,1734
Panasonic,Lumix DMC-FZ40,6.08,4.56,4330,3256
Panasonic,Lumix DMC-FZ42,6.08,4.56,4330,3256
Panasonic,Lumix DMC-FZ45,6.08,4.56,4330,3256
Panasonic,Lumix DMC-FZ47,6.08,4.56,4011,3016
Panasonic,Lumix DMC-FZ48,6.08,4.56,4011,3016
Panasonic,Lumix DMC-FZ5,5.75,4.32,2552,1919
Panasonic,Lumix DMC-FZ50,7.11,5.33,3647,2742
Panasonic,Lumix DMC-FZ60,6.08,4.56,4627,3479
Panasonic,Lumix DMC-FZ7,5.75,4.32,2825,2124
Panasonic,Lumix DMC-FZ70,6.16,4.62,4627,3479
Panasonic,Lumix DMC-FZ8,5.75,4.32,3072,2310
Panasonic,Lumix DMC-G1,17.3,13,4011,3016
Panasonic,Lumix DMC-G10,17.3,13,4011,3016
Panasonic,Lumix DMC-G2,17.3,13,4011,3016
Panasonic,Lumix DMC-G3,17.3,13,4585,3447
Panasonic,Lumix DMC-G5,17.3,13,4620,3474
Panasonic,Lumix DMC-G6,17.3,13,4620,3474
Panasonic,Lumix DMC-G7,17.3,13,4612,3468
Panasonic,Lumix DMC-GF1,17.3,13,4011,3016
Panasonic,Lumix DMC-GF2,17.3,13,4011,3016
Panasonic,Lumix DMC-GF3,17.3,13,4011,3016
Panasonic,Lumix DMC-GF5,17.3,13,4011,3016
Panasonic,Lumix DMC-GF6,17.3,13,4612,3468
Panasonic,Lumix DMC-GH1,17.3,13,4011,3016
Panasonic,Lumix DMC-GH2,17.3,13,4620,3474
Panasonic,Lumix DMC-GH3,17.3,13,4620,3474
Panasonic,Lumix DMC-GH4,17.3,13,4620,3474
Panasonic,Lumix DMC-GH5,17.3,13,5196,3907
Panasonic,Lumix DMC-GM1,17.3,13,4612,3468
Panasonic,Lumix DMC-GM5,17.3,13,4612,3468
Panasonic,Lumix DMC-GX1,17.3,13,4612,3468
Panasonic,Lumix DMC-GX7,17.3,13,4612,3468
Panasonic,Lumix DMC-L1,17.3,13,3137,2359
Panasonic,Lumix DMC-L10,17.3,13,3647,2742
Panasonic,Lumix DMC-LC1,8.8,6.6,2552,1919
Panasonic,Lumix DMC-LC20,5.33,4,1589,1195
Panasonic,Lumix DMC-LC33,5.75,4.32,2031,1527
Panasonic,Lumix DMC-LC40,7.53,5.64,2286,1706
Panasonic,Lumix DMC-LC43,5.75,4.32,2306,1734
Panasonic,Lumix DMC-LC5,7.53,5.64,2286,1706
Panasonic,Lumix DMC-LC50,5.75,4.32,2031,1527
Panasonic,Lumix DMC-LC70,5.75,4.32,2306,1734
Panasonic,Lumix DMC-LC80,5.75,4.32,2552,1919
Panasonic,Lumix DMC-LF1,7.53,5.64,4027,3005
Panasonic,Lumix DMC-LS1,5.75,4.32,2306,1734
Panasonic,Lumix DMC-LS2,5.75,4.32,2579,1939
Panasonic,Lumix DMC-LS3,5.75,4.32,2579,1939
Panasonic,Lumix DMC-LS5,6.08,4.56,4330,3256
Panasonic,Lumix DMC-LS6,6.08,4.56,4330,3256
Panasonic,Lumix DMC-LS60,5.75,4.32,2825,2124
Panasonic,Lumix DMC-LS75,5.75,4.32,3072,2310
Panasonic,Lumix DMC-LS80,5.75,4.32,3282,2468
Panasonic,Lumix DMC-LS85,5.75,4.32,3282,2468
Panasonic,Lumix DMC-LX1,7.76,5.81,3335,2489
Panasonic,Lumix DMC-LX100,17.3,13,4126,3102
Panasonic,Lumix DMC-LX2,7.76,5.81,3661,2732
Panasonic,Lumix DMC-LX3,7.85,5.89,3665,2756
Panasonic,Lumix DMC-LX5,7.85,5.89,3665,2756
Panasonic,Lumix DMC-LX7,7.53,5.64,3678,2745
Panasonic,Lumix DMC-LZ1,5.75,4.32,2306,1734
Panasonic,Lumix DMC-LZ10,6.08,4.56,3665,2756
Panasonic,Lumix DMC-LZ2,5.75,4.32,2579,1939
Panasonic,Lumix DMC-LZ20,6.08,,,
Panasonic,Lumix DMC-LZ3,5.75,4.32,2579,1939
Panasonic,Lumix DMC-LZ30,6.16,4.62,4627,3479
Panasonic,Lumix DMC-LZ40,6.16,4.62,5158,3878
Panasonic,Lumix DMC-LZ5,5.75,4.32,2825,2124
Panasonic,Lumix DMC-LZ6,5.75,4.32,3072,2310
Panasonic,Lumix DMC-LZ7,5.75,4.32,3072,2310
Panasonic,Lumix DMC-LZ8,5.75,4.32,3282,2468
Panasonic,Lumix DMC-S1,6.08,4.56,4011,3016
Panasonic,Lumix DMC-S2,6.08,4.56,4330,3256
Panasonic,Lumix DMC-S3,6.08,4.56,4330,3256
Panasonic,Lumix DMC-S5,6.08,4.56,4627,3479
Panasonic,Lumix DMC-SZ1,6.08,4.56,4627,3479
Panasonic,Lumix DMC-SZ3,6.08,4.56,4627,3479
Panasonic,Lumix DMC-SZ5,6.08,4.56,4330,3256
Panasonic,Lumix DMC-SZ7,6.08,4.56,4330,3256
Panasonic,Lumix DMC-SZ8,6.08,4.56,4612,3468
Panasonic,Lumix DMC-SZ9,6.08,4.56,4627,3479
Panasonic,Lumix DMC-TS1,6.08,4.56,4011,3016
Panasonic,Lumix DMC-TS10,6.08,4.56,4330,3256
Panasonic,Lumix DMC-TS2,6.08,4.56,4330,3256
Panasonic,Lumix DMC-TS20,6.08,4.56,4627,3479
Panasonic,Lumix DMC-TS25,6.08,4.56,4627,3479
Panasonic,Lumix DMC-TS3,6.08,4.56,4011,3016
Panasonic,Lumix DMC-TS4,6.08,4.56,4011,3016
Panasonic,Lumix DMC-TS5,6.08,4.56,4627,3479
Panasonic,Lumix DMC-TZ1,5.75,4.32,2552,1919
Panasonic,Lumix DMC-TZ10,6.08,4.56,4011,3016
Panasonic,Lumix DMC-TZ18,6.08,4.56,4330,3256
Panasonic,Lumix DMC-TZ2,6.08,4.56,2825,2124
Panasonic,Lumix DMC-TZ20,6.08,4.56,4330,3256
Panasonic,Lumix DMC-TZ22,6.08,4.56,4330,3256
Panasonic,Lumix DMC-TZ25,6.16,4.62,4011,3016
Panasonic,Lumix DMC-TZ3,6.08,4.56,3072,2310
Panasonic,Lumix DMC-TZ30,6.08,4.56,4330,3256
Panasonic,Lumix DMC-TZ31,6.08,4.56,4330,3256
Panasonic,Lumix DMC-TZ4,5.75,4.32,3282,2468
Panasonic,Lumix DMC-TZ5,6.08,4.56,3479,2616
Panasonic,Lumix DMC-TZ50,6.08,4.56,3479,2616
Panasonic,Lumix DMC-TZ6,5.75,4.32,3665,2756
Panasonic,Lumix DMC-TZ7,6.08,4.56,3665,2756
Panasonic,Lumix DMC-XS1,6.08,4.56,4627,3479
Panasonic,Lumix DMC-XS3,6.08,4.56,4330,3256
Panasonic,Lumix DMC-ZR1,6.08,4.56,4011,3016
Panasonic,Lumix DMC-ZR3,6.08,4.56,4330,3256
Panasonic,Lumix DMC-ZS1,5.75,4.32,3665,2756
Panasonic,Lumix DMC-ZS10,6.08,4.56,4330,3256
Panasonic,Lumix DMC-ZS15,6.16,4.62,4011,3016
Panasonic,Lumix DMC-ZS20,6.08,4.56,4330,3256
Panasonic,Lumix DMC-ZS25,6.08,4.56,4627,3479
Panasonic,Lumix DMC-ZS3,6.08,4.56,3665,2756
Panasonic,Lumix DMC-ZS30,6.16,4.62,4906,3689
Panasonic,Lumix DMC-ZS35 / TZ55,6.08,4.56,4612,3468
Panasonic,Lumix DMC-ZS40 / TZ60,6.16,4.62,4906,3689
Panasonic,Lumix DMC-ZS100 / TZ100,13.2,8.8,5492,3661
Panasonic,Lumix DMC-ZS5,6.08,4.56,4011,3016
Panasonic,Lumix DMC-ZS7,6.08,4.56,4011,3016
Panasonic,Lumix DMC-ZS8,6.08,4.56,4330,3256
Panasonic,Lumix DMC-ZX1,6.08,4.56,4011,3016
Panasonic,Lumix DMC-ZX3,6.08,4.56,4330,3256
Panasonic,PV DC3000,7.11,5.33,2108,1585
Pentax,*ist D,23.5,15.7,3026,2017
Pentax,*ist DL,23.5,15.7,3026,2017
Pentax,*ist DL2,23.5,15.7,3026,2017
Pentax,*ist DS,23.5,15.7,3026,2017
Pentax,*ist DS2,23.5,15.7,3026,2017
Pentax,645D,44,33,7294,5484
Pentax,645Z,44,33,8269,6217
Pentax,Efina,6.16,4.62,4315,3244
Pentax,EI-100,4.5,3.37,1268,946
Pentax,EI-200,5.33,4,1589,1195
Pentax,EI-2000,8.8,6.6,1589,1195
Pentax,K-01,23.7,15.7,4962,3286
Pentax,K-3,23.5,15.6,6064,4016
Pentax,K-30,23.7,15.7,4962,3286
Pentax,K-5,23.6,15.7,4944,3296
Pentax,K-5 II,23.7,15.7,4962,3286
Pentax,K-50,23.7,15.7,4962,3286
Pentax,K-500,23.7,15.7,4962,3286
Pentax,K-7,23.4,15.6,4680,3120
Pentax,K-m,23.5,15.7,3912,2608
Pentax,K-r,23.6,15.8,4299,2885
Pentax,K-S1,23.5,15.6,5512,3650
Pentax,K-x,23.6,15.8,4299,2885
Pentax,K100D,23.5,15.7,3026,2017
Pentax,K100D Super,23.5,15.7,3026,2017
Pentax,K10D,23.5,15.7,3873,2582
Pentax,K110D,23.7,15.5,3055,1997
Pentax,K200D,23.5,15.7,3912,2608
Pentax,K20D,23.4,15.6,4680,3120
Pentax,MX-1,7.53,5.64,4011,2993
Pentax,Optio 230,5.33,4,1589,1195
Pentax,Optio 30,5.33,4,2108,1585
Pentax,Optio 330,7.11,5.33,2031,1527
Pentax,Optio 330GS,5.33,4,2063,1551
Pentax,Optio 330RS,7.11,5.33,2031,1527
Pentax,Optio 33L,5.33,4,2031,1527
Pentax,Optio 33LF,5.33,4,2031,1527
Pentax,Optio 33WR,5.33,4,2031,1527
Pentax,Optio 430,7.11,5.33,2248,1690
Pentax,Optio 430RS,7.11,5.33,2248,1690
Pentax,Optio 43WR,5.33,4,2277,1712
Pentax,Optio 450,7.11,5.33,2277,1712
Pentax,Optio 50,5.75,4.32,2552,1919
Pentax,Optio 50L,5.75,4.32,2579,1939
Pentax,Optio 550,7.11,5.33,2579,1939
Pentax,Optio 555,7.11,5.33,2579,1939
Pentax,Optio 60,7.11,5.33,2849,2142
Pentax,Optio 750Z,7.11,5.33,3072,2310
Pentax,Optio A10,7.11,5.33,3262,2453
Pentax,Optio A20,5.75,4.32,3647,2742
Pentax,Optio A30,7.11,5.33,3647,2742
Pentax,Optio A40,7.53,5.64,4011,2993
Pentax,Optio E10,5.75,4.32,2825,2124
Pentax,Optio E20,5.75,4.32,2825,2124
Pentax,Optio E25,5.75,4.32,3072,2310
Pentax,Optio E30,5.75,4.32,3072,2310
Pentax,Optio E40,5.75,4.32,3282,2468
Pentax,Optio E50,5.75,4.32,3282,2468
Pentax,Optio E60,6.08,4.56,3665,2756
Pentax,Optio E70,6.16,4.62,3647,2742
Pentax,Optio E70L,6.16,4.62,3665,2756
Pentax,Optio E75,6.08,4.56,3665,2756
Pentax,Optio E80,6.08,4.56,3647,2742
Pentax,Optio E85,6.16,4.62,4011,3016
Pentax,Optio E90,6.16,4.62,3647,2742
Pentax,Optio H90,6.16,4.62,4011,3016
Pentax,Optio I-10,6.16,4.62,4011,3016
Pentax,Optio L20,5.75,4.32,3051,2294
Pentax,Optio L50,6.03,4.52,3362,2528
Pentax,Optio LS1000,6.16,4.62,4315,3244
Pentax,Optio LS1100,6.08,4.56,4315,3244
Pentax,Optio LS465,23.7,15.7,4915,3255
Pentax,Optio M10,5.75,4.32,2825,2124
Pentax,Optio M20,5.75,4.32,3072,2310
Pentax,Optio M30,5.75,4.32,3072,2310
Pentax,Optio M40,6.03,4.52,3262,2453
Pentax,Optio M50,6.03,4.52,3262,2453
Pentax,Optio M60,6.16,4.62,3647,2742
Pentax,Optio M85,6.16,4.62,4011,3016
Pentax,Optio M90,6.08,4.56,4011,3016
Pentax,Optio MX,5.33,4,2108,1585
Pentax,Optio MX4,5.33,4,2306,1734
Pentax,Optio P70,6.16,4.62,3995,3004
Pentax,Optio P80,6.16,4.62,4011,3016
Pentax,Optio RS1000,6.16,4.62,4330,3256
Pentax,Optio RS1500,6.08,4.56,4315,3244
Pentax,Optio RZ10,6.08,4.56,4330,3256
Pentax,Optio RZ18,6.08,4.56,4612,3468
Pentax,Optio S,5.75,4.32,2031,1527
Pentax,Optio S1,6.16,4.62,4330,3256
Pentax,Optio S10,7.11,5.33,3647,2742
Pentax,Optio S12,7.53,5.64,4011,2993
Pentax,Optio S30,5.33,4,2031,1527
Pentax,Optio S4,5.75,4.32,2306,1734
Pentax,Optio S40,5.75,4.32,2306,1734
Pentax,Optio S45,5.75,4.32,2306,1734
Pentax,Optio S4i,5.75,4.32,2306,1734
Pentax,Optio S50,5.75,4.32,2579,1939
Pentax,Optio S55,5.75,4.32,2579,1939
Pentax,Optio S5i,5.75,4.32,2552,1919
Pentax,Optio S5n,5.75,4.32,2552,1919
Pentax,Optio S5z,5.75,4.32,2579,1939
Pentax,Optio S6,5.75,4.32,2825,2124
Pentax,Optio S60,5.75,4.32,2825,2124
Pentax,Optio S7,5.75,4.32,3072,2310
Pentax,Optio SV,5.75,4.32,2579,1939
Pentax,Optio SVi,5.75,4.32,2579,1939
Pentax,Optio T10,5.75,4.32,2825,2124
Pentax,Optio T20,5.75,4.32,3072,2310
Pentax,Optio T30,5.75,4.32,3072,2310
Pentax,Optio V10,6.03,4.52,3262,2453
Pentax,Optio V20,6.03,4.52,3262,2453
Pentax,Optio VS20,6.08,4.56,4612,3468
Pentax,Optio W10,5.75,4.32,2825,2124
Pentax,Optio W20,5.75,4.32,3072,2310
Pentax,Optio W30,5.75,4.32,3072,2310
Pentax,Optio W60,6.16,4.62,3647,2742
Pentax,Optio W80,6.16,4.62,4011,3016
Pentax,Optio W90,6.16,4.62,4011,3016
Pentax,Optio WG-1,6.16,4.62,4315,3244
Pentax,Optio WG-1 GPS,6.16,4.62,4315,3244
Pentax,Optio WG-2,6.16,4.62,4612,3468
Pentax,Optio WG-2 GPS,6.16,4.62,4612,3468
Pentax,Optio WP,5.75,4.32,2552,1919
Pentax,Optio WPi,5.75,4.32,2825,2124
Pentax,Optio WS80,6.08,4.56,3647,2742
Pentax,Optio X,5.75,4.32,2579,1939
Pentax,Optio Z10,5.75,4.32,3262,2453
Pentax,Q,6.16,4.62,4060,3053
Pentax,Q-S1,7.53,5.64,4076,3042
Pentax,Q10,6.16,4.62,4060,3053
Pentax,Q7,7.53,5.64,4076,3042
Pentax,WG-10,6.16,4.62,4315,3244
Pentax,WG-3,6.16,4.62,4612,3468
Pentax,X-5,6.08,4.56,4612,3468
Pentax,X70,6.08,4.56,3995,3004
Pentax,X90,6.08,4.56,3995,3004
Pentax,XG-1,6.08,4.56,4612,3468
Praktica,DC 20,6.4,4.8,1631,1226
Praktica,DC 21,5.33,4,1676,1260
Praktica,DC 22,5.33,4,1676,1260
Praktica,DC 32,5.33,4,2031,1527
Praktica,DC 34,5.33,4,2095,1575
Praktica,DC 42,5.75,4.32,2363,1777
Praktica,DC 44,5.75,4.32,2363,1777
Praktica,DC 50,5.75,4.32,2627,1975
Praktica,DC 52,5.75,4.32,2671,2008
Praktica,DC 60,5.75,4.32,2867,2156
Praktica,DC Slim 2,6.4,4.8,1631,1226
Praktica,DC Slim 5,7.11,5.33,2604,1958
Praktica,DC440,5.75,4.32,2306,1734
Praktica,DCZ 1.3,6.4,4.8,1315,989
Praktica,DCZ 10.1,7.11,5.33,3713,2792
Praktica,DCZ 10.2,6.16,4.62,3677,2765
Praktica,DCZ 10.3,6.08,4.56,3647,2742
Praktica,DCZ 10.4,6.16,4.62,3647,2742
Praktica,DCZ 12.1,6.16,4.62,3995,3004
Praktica,DCZ 12.Z4,6.16,4.62,3995,3004
Praktica,DCZ 14.1,6.16,4.62,4315,3244
Praktica,DCZ 14.2,6.16,4.62,4315,3244
Praktica,DCZ 2.0,4.8,3.6,1672,1257
Praktica,DCZ 2.1,4.8,3.6,1676,1260
Praktica,DCZ 2.1 S,4.5,3.37,1682,1255
Praktica,DCZ 2.2,5.33,4,1676,1260
Praktica,DCZ 2.2 S,6.4,4.8,1631,1226
Praktica,DCZ 3.0,6.4,4.8,2044,1537
Praktica,DCZ 3.2,7.11,5.33,2063,1551
Praktica,DCZ 3.2D,6.4,4.8,2095,1575
Praktica,DCZ 3.2S,6.4,4.8,2095,1575
Praktica,DCZ 3.3,7.11,5.33,2108,1585
Praktica,DCZ 3.4,5.75,4.32,2063,1551
Praktica,DCZ 3.5,5.75,4.32,1998,1502
Praktica,DCZ 4.1,7.11,5.33,2306,1734
Praktica,DCZ 4.2,7.11,5.33,2306,1734
Praktica,DCZ 4.3,7.11,5.33,2306,1734
Praktica,DCZ 4.4,5.75,4.32,2363,1777
Praktica,DCZ 5.1,7.11,5.33,2579,1939
Praktica,DCZ 5.2,7.11,5.33,2579,1939
Praktica,DCZ 5.3,5.75,4.32,2579,1939
Praktica,DCZ 5.4,5.75,4.32,2579,1939
Praktica,DCZ 5.5,5.75,4.32,2629,1977
Praktica,DCZ 5.8,5.75,4.32,2579,1939
Praktica,DCZ 6.1,5.75,4.32,2825,2124
Praktica,DCZ 6.2,5.75,4.32,2849,2142
Praktica,DCZ 6.3,5.75,4.32,2849,2142
Praktica,DCZ 6.8,5.75,4.32,2825,2124
Praktica,DCZ 7.1,5.75,4.32,3051,2294
Praktica,DCZ 7.2,5.75,4.32,3084,2319
Praktica,DCZ 7.3,5.75,4.32,3072,2310
Praktica,DCZ 7.4,5.75,4.32,3133,2356
Praktica,DCZ 8.1,5.75,4.32,3262,2453
Praktica,DCZ 8.2,5.75,4.32,3262,2453
Praktica,DCZ 8.3,5.75,4.32,3262,2453
Praktica,Digi 3,6.4,4.8,2063,1551
Praktica,Digi 3 LM,6.4,4.8,2063,1551
Praktica,Digi 30,6.4,4.8,2063,1551
Praktica,Digicam 3,6.4,4.8,2031,1527
Praktica,DMMC,4.8,3.6,1631,1226
Praktica,DMMC 4,4.8,3.6,1631,1226
Praktica,Dpix 1000z,6.16,4.62,3683,2769
Praktica,Dpix 1100z,5.75,4.32,3647,2742
Praktica,Dpix 1220z,6.08,4.56,4029,3029
Praktica,Dpix 3000,6.4,4.8,2063,1551
Praktica,Dpix 3200,4.8,3.6,2063,1551
Praktica,Dpix 3300,4.8,3.6,2063,1551
Praktica,Dpix 5000 WP,4.5,3.37,2589,1932
Praktica,Dpix 5100,5.75,4.32,2579,1939
Praktica,Dpix 510Z,5.75,4.32,2579,1939
Praktica,Dpix 5200,5.75,4.32,2579,1939
Praktica,Dpix 530Z,5.75,4.32,2579,1939
Praktica,Dpix 740z,5.75,4.32,3084,2319
Praktica,Dpix 750z,5.75,4.32,3096,2328
Praktica,Dpix 810z,5.75,4.32,3262,2453
Praktica,Dpix 820z,5.75,4.32,3262,2453
Praktica,Dpix 9000,6.16,4.62,3459,2601
Praktica,Dpix 910z,6.4,4.8,3459,2601
Praktica,DVC 6.1,5.75,4.32,2849,2142
Praktica,Exakta DC 4200,7.11,5.33,2306,1734
Praktica,G2.0,6.4,4.8,1631,1226
Praktica,G3.2,6.4,4.8,1998,1502
Praktica,Luxmedia 10 TS,6.16,4.62,3708,2788
Praktica,Luxmedia 10 X3,7.11,5.33,3665,2756
Praktica,Luxmedia 10 XS,5.75,4.32,3713,2792
Praktica,Luxmedia 10-03,6.16,4.62,3647,2742
Praktica,Luxmedia 10-23,6.16,4.62,3647,2742
Praktica,Luxmedia 12 HD,7.44,5.58,3995,3004
Praktica,Luxmedia 12 TS,6.16,4.62,3708,2788
Praktica,Luxmedia 12 XS,5.75,4.32,3995,3004
Praktica,Luxmedia 12-03,5.75,4.32,3262,2453
Praktica,Luxmedia 12-04,6.16,4.62,3995,3004
Praktica,Luxmedia 12-23,6.16,4.62,3995,3004
Praktica,Luxmedia 12-Z4,6.16,4.62,3995,3004
Praktica,Luxmedia 12-Z4TS,6.16,4.62,3995,3004
Praktica,Luxmedia 12-Z5,6.16,4.62,3995,3004
Praktica,Luxmedia 14-Z50S,6.16,4.62,4315,3244
Praktica,Luxmedia 14-Z51,6.16,4.62,4315,3244
Praktica,Luxmedia 14-Z80S,6.16,4.62,4315,3244
Praktica,Luxmedia 16-Z12S,6.16,4.62,4612,3468
Praktica,Luxmedia 16-Z21C,6.16,4.62,4612,3468
Praktica,Luxmedia 16-Z21S,6.16,4.62,4612,3468
Praktica,Luxmedia 16-Z24S,6.16,4.62,4627,3479
Praktica,Luxmedia 16-Z51,6.16,4.62,4612,3468
Praktica,Luxmedia 16-Z52,6.16,4.62,4612,3468
Praktica,Luxmedia 18-Z36C,6.16,4.62,4893,3679
Praktica,Luxmedia 4008,5.75,4.32,2363,1777
Praktica,Luxmedia 5003,7.11,5.33,2604,1958
Praktica,Luxmedia 5008,5.75,4.32,2629,1977
Praktica,Luxmedia 5103,7.11,5.33,2655,1996
Praktica,Luxmedia 5203,5.75,4.32,2604,1958
Praktica,Luxmedia 5303,5.75,4.32,2604,1958
Praktica,Luxmedia 6103,7.11,5.33,2825,2124
Praktica,Luxmedia 6105,5.75,4.32,2909,2187
Praktica,Luxmedia 6203,5.75,4.32,2579,1939
Praktica,Luxmedia 6403,5.75,4.32,2849,2142
Praktica,Luxmedia 6503,5.75,4.32,2894,2176
Praktica,Luxmedia 7103,5.75,4.32,3095,2327
Praktica,Luxmedia 7105,5.75,4.32,3051,2294
Praktica,Luxmedia 7203,5.75,4.32,3133,2356
Praktica,Luxmedia 7303,5.75,4.32,3051,2294
Praktica,Luxmedia 7403,5.75,4.32,3139,2360
Praktica,Luxmedia 8003,7.11,5.33,3262,2453
Praktica,Luxmedia 8203,5.75,4.32,3292,2475
Praktica,Luxmedia 8213,5.75,4.32,3292,2475
Praktica,Luxmedia 8303,5.75,4.32,3302,2483
Praktica,Luxmedia 8403,5.75,4.32,3262,2453
Praktica,Luxmedia 8503,5.75,4.32,3262,2453
Praktica,Mini,6.4,4.8,2063,1551
Praktica,V2.1,6.4,4.8,1672,1257
Praktica,V3.2,6.4,4.8,2063,1551
RaspberryPi,RP_OV5647,3.2,2.4,2592,1944
RaspberryPi,RP_imx219,3.2,2.4,3280,2464
Ricoh,Caplio 400G Wide,5.33,4,2108,1585
Ricoh,Caplio 500G,7.11,5.33,3262,2453
Ricoh,Caplio 500G Wide,7.11,5.33,3322,2498
Ricoh,Caplio 500SE,7.11,5.33,3282,2468
Ricoh,Caplio G3,5.33,4,2031,1527
Ricoh,Caplio G3s,5.33,4,2076,1561
Ricoh,Caplio GX,7.11,5.33,2612,1964
Ricoh,Caplio GX100,7.31,5.49,3647,2742
Ricoh,Caplio GX200,7.53,5.64,4027,3005
Ricoh,Caplio GX8,7.11,5.33,3262,2453
Ricoh,Caplio R1,7.11,5.33,2552,1919
Ricoh,Caplio R1V,5.75,4.32,2552,1919
Ricoh,Caplio R2,5.75,4.32,2552,1919
Ricoh,Caplio R2S,5.75,4.32,2579,1939
Ricoh,Caplio R3,5.75,4.32,2552,1919
Ricoh,Caplio R30,5.75,4.32,2552,1919
Ricoh,Caplio R4,5.75,4.32,2825,2124
Ricoh,Caplio R40,5.75,4.32,2825,2124
Ricoh,Caplio R5,5.75,4.32,3072,2310
Ricoh,Caplio R6,5.75,4.32,3072,2310
Ricoh,Caplio R7,5.75,4.32,3302,2483
Ricoh,Caplio R8,6.16,4.62,3647,2742
Ricoh,Caplio RR1,7.11,5.33,2277,1712
Ricoh,Caplio RR10,5.33,4,1676,1260
Ricoh,Caplio RR120,4.5,3.37,1717,1281
Ricoh,Caplio RR230,4.5,3.37,1682,1255
Ricoh,Caplio RR30,5.33,4,2076,1561
Ricoh,Caplio RR330,5.75,4.32,2108,1585
Ricoh,Caplio RR530,5.75,4.32,2552,1919
Ricoh,Caplio RR630,7.11,5.33,2825,2124
Ricoh,Caplio RR660,5.75,4.32,2862,2152
Ricoh,Caplio RR750,5.75,4.32,3096,2328
Ricoh,Caplio RR770,5.75,4.32,3095,2327
Ricoh,Caplio RX,5.33,4,2031,1527
Ricoh,Caplio RZ1,5.75,4.32,2361,1775
Ricoh,CX1,6.16,4.62,3517,2644
Ricoh,CX2,6.16,4.62,3517,2644
Ricoh,CX3,6.16,4.62,3647,2742
Ricoh,CX4,6.16,4.62,3647,2742
Ricoh,CX5,6.16,4.62,3647,2742
Ricoh,CX6,6.16,4.62,3647,2742
Ricoh,G600,6.16,4.62,3647,2742
Ricoh,G700,6.16,4.62,4060,3053
Ricoh,G700SE,6.16,4.62,4011,3016
Ricoh,G800,6.16,4.62,4612,3468
Ricoh,GR,23.6,15.7,4929,3286
Ricoh,GR Digital,7.11,5.33,3262,2453
Ricoh,GR Digital 3,7.53,5.64,3733,2786
Ricoh,GR Digital 4,7.53,5.64,3733,2786
Ricoh,GR Digital II,7.31,5.49,3647,2742
Ricoh,GX200,7.53,5.64,4076,3042
Ricoh,GXR A12 50mm F2.5 Macro,23.6,15.7,4296,2864
Ricoh,GXR A16 24-85mm F3.5-5.5,23.6,15.7,4929,3286
Ricoh,GXR GR Lens A12 28mm F2.5,23.6,15.7,4296,2864
Ricoh,GXR Mount A12,23.6,15.7,4296,2864
Ricoh,GXR P10 28-300mm F3.5-5.6 VC,6.16,4.62,3647,2742
Ricoh,GXR S10 24-72mm F2.5-4.4 VC,7.53,5.64,3661,2732
Ricoh,HZ15,6.16,4.62,4612,3468
Ricoh,PX,6.16,4.62,4612,3468
Ricoh,R10,6.16,4.62,3647,2742
